"Dist Code","Year","State Code","State Name","Dist Name","DIESEL PUMPSETS NUMBER (1000 Number)","DIESEL PUMPSETS DENSITY (Per 1000 ha)","ELECTRIC PUMPSETS NUMBER (1000 Number)","ELECTRIC PUMPSETS DENSITY (Per 1000 ha)","POWER TILLER NUMBER (1000 Number)","POWER TILLER DENSITY (Per 1000 ha)","TRACTORS NUMBER (1000 Number)","TRACTORS DENSITY (Per 1000 ha)"
"106","1972","7","Maharashtra","Solapur","16.48","260.27","6.37","100.6","0.01","0.16","0.94","14.85"
"106","1978","7","Maharashtra","Solapur","19.68","173.03","23.02","202.41","-1.0","-1.0","0.43","3.77"
"106","1982","7","Maharashtra","Solapur","20.58","187.16","34.16","310.66","0.02","0.18","0.7","6.37"
"106","1987","7","Maharashtra","Solapur","10.79","100.65","41.19","384.24","0.25","2.33","0.97","9.05"
"106","1992","7","Maharashtra","Solapur","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"106","1997","7","Maharashtra","Solapur","8.81","83.44","52.37","496.02","0.11","1.04","3.48","32.96"
"106","2003","7","Maharashtra","Solapur","7.36","72.19","84.16","825.42","0.35","3.43","5.23","51.29"
"107","1966","7","Maharashtra","Kolhapur","11.24","271.79","2.57","62.0","-1.0","-1.0","0.44","10.68"
"107","1972","7","Maharashtra","Kolhapur","12.54","321.62","6.41","164.4","0.03","0.77","0.31","7.95"
"107","1978","7","Maharashtra","Kolhapur","17.45","411.78","13.99","330.09","-1.0","-1.0","1.37","32.38"
"107","1982","7","Maharashtra","Kolhapur","13.23","317.72","14.99","359.99","0.06","1.44","2.33","55.96"
"107","1987","7","Maharashtra","Kolhapur","10.52","241.12","17.96","411.64","0.55","12.61","2.73","62.57"
"107","1992","7","Maharashtra","Kolhapur","9.7","233.17","21.28","511.54","0.29","6.97","3.81","91.59"
"107","1997","7","Maharashtra","Kolhapur","10.06","240.84","20.07","480.49","0.85","20.35","5.42","129.76"
"107","2003","7","Maharashtra","Kolhapur","8.08","188.74","23.38","546.13","0.86","20.09","5.91","138.05"
"108","1966","7","Maharashtra","Aurangabad","11.3","84.9","1.87","14.04","-1.0","-1.0","0.13","0.98"
"108","1972","7","Maharashtra","Aurangabad","15.08","148.25","8.43","82.87","0.03","0.29","0.24","2.36"
"108","1978","7","Maharashtra","Aurangabad","7.65","63.05","22.73","187.2","-1.0","-1.0","0.76","6.22"
"108","1982","7","Maharashtra","Aurangabad","6.78","49.99","28.64","211.15","0.1","0.74","1.11","8.18"
"108","1987","7","Maharashtra","Aurangabad","4.29","32.85","50.8","388.97","0.62","4.75","1.47","11.26"
"108","1992","7","Maharashtra","Aurangabad","2.63","19.97","59.14","448.98","0.1","0.76","2.59","19.66"
"108","1997","7","Maharashtra","Aurangabad","2.28","17.88","76.71","601.55","0.05","0.39","5.05","39.6"
"108","2003","7","Maharashtra","Aurangabad","5.83","45.75","81.79","641.84","0.03","0.24","7.37","57.84"
"109","1966","7","Maharashtra","Parbhani","1.52","16.71","0.46","5.07","-1.0","-1.0","0.04","0.39"
"109","1972","7","Maharashtra","Parbhani","3.17","35.67","7.02","78.99","0.0","0.0","0.08","0.9"
"109","1978","7","Maharashtra","Parbhani","3.59","35.68","8.39","83.31","-1.0","-1.0","0.18","1.82"
