state_number,crop_name,RMS_RandomForest,RandomForest,RMS_LinearRegression,LinearRegression
104,KharifSorghumYD,441.2650728,1696.2966,243.4163237,1439.676031
104,RabiSorghumYD,79.10871018,788.4763,81.07036056,788.9159626
104,PEARL_MILLET_YIELD,146.9545529,535.8769,148.248243,480.8897609
104,MAIZE_YIELD,592.62306,2309.1059,721.2716575,2502.675092
104,FINGER_MILLET_YIELD,91.62170931,945.7234,158.9503292,895.3430387
104,BARLEY YIELD,0,0,0,0
104,CHICKPEA_YIELD,204.318628,607.5632,316.5429883,548.9714124
104,PIGEONPEA_YIELD,283.6463912,480.6206,313.1414464,536.9019234
104,MINOR PULSES AREA (1000 ha),13.78385683,36.7825,15.57110554,31.5619941
104,MINOR_PULSES_PRODUCTION,19.80049577,17.1327,20.41282338,12.78870661
104,MINOR_PULSES_YIELD,287.9184949,397.8733,297.9624642,373.0222807
104,GROUNDNUT_YIELD,99.93898779,1291.0521,47.31646091,1366.091674
104,SESAMUM_YIELD,64.75629425,189.8337,77.33500102,209.5021333
104,RAPESEEDandMUSTARD_YIELD,234.8308838,17.7,210.567123,22.17937399
104,SAFFLOWER_YIELD,737.2125402,1483.4967,3506.675931,5354.105174
104,CASTOR_YIELD,214.0143438,21.97698413,794.9202452,-873.1213429
104,LINSEED_YIELD,453,453,289.4716838,289.4716838
104,SUNFLOWER_YIELD,129.7573696,499.7357,151.2687425,494.5296134
104,SOYABEAN_YIELD,141.8893671,1575.4818,159.2715526,1458.828734
104,OILSEEDS_YIELD,1212.041963,1542.3293,933.5945654,1317.550404
104,SUGARCANE_YIELD,1498.062746,9850.7394,1636.394441,9930.76911
104,COTTON_YIELD,135.4731923,153.8333,163.2901152,-15.22983218
104,FRUITS_AREA,7.865469384,1.846354167,12.59928716,20.92242082
104,VEGETABLES_AREA,7.607629537,4.001785,7.290846244,8.02729069
104,FRUITSandVEGETABLES_AREA,14.98197363,6.03128,15.36870244,21.1995182
104,POTATOES_AREA ,2.240765234,0.63572,2.065054792,1.77202569
104,ONION_AREA,5.46405128,1.567,3.831562861,3.03076285
104,FODDER_AREA,0,0,0,0
